class,error,class1,error1,class2,error2,final_class,final_error
anemone fish,1,anemone fish,1,fish,0,fish,0
sturgeon,0,sturgeon,0,sturgeon,0,sturgeon,0
"gar, garfish, garpike, billfish, Lepisosteus osseus",1,gar,0,gar,0,gar,0
lionfish,0,lionfish,0,lionfish,0,lionfish,0
"puffer, pufferfish, blowfish, globefish",1,puffer,0,puffer,0,puffer,0
abacus,0,abacus,0,abacus,0,abacus,0
abaya,0,abaya,0,abaya,0,abaya,0
"academic gown, academic robe, judge's robe",1,academic gown,1,gown,0,gown,0
"accordion, piano accordion, squeeze box",1,accordion,0,accordion,0,accordion,0
acoustic guitar,1,acoustic guitar,1,guitar,0,guitar,0
"aircraft carrier, carrier, flattop, attack aircraft carrier",1,aircraft carrier,1,carrier,0,aircraft,0
airliner,0,airliner,0,airliner,0,airliner,0
"airship, dirigible",1,airship,0,airship,0,airship,0
altar,0,altar,0,altar,0,altar,0
ambulance,0,ambulance,0,ambulance,0,ambulance,0
"amphibian, amphibious vehicle",1,amphibian,0,amphibian,0,amphibian,0
analog clock,1,analog clock,1,clock,0,clock,0
"apiary, bee house",1,apiary,0,apiary,0,apiary,0
apron,0,apron,0,apron,0,apron,0
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",1,ashcan,0,ashcan,0,ashcan,0
"assault rifle, assault gun",1,assault rifle,1,rifle,0,rifle,0
"backpack, back pack, knapsack, packsack, rucksack, haversack",1,backpack,0,backpack,0,backpack,0
"bakery, bakeshop, bakehouse",1,bakery,0,bakery,0,bakery,0
"balance beam, beam",1,balance beam,1,beam,0,beam,0
balloon,0,balloon,0,balloon,0,balloon,0
"ballpoint, ballpoint pen, ballpen, Biro",1,ballpoint,0,ballpoint,0,ballpoint,0
Band Aid,1,Band Aid,1,Aid,0,Aid,0
banjo,0,banjo,0,banjo,0,banjo,0
"bannister, banister, balustrade, balusters, handrail",1,bannister,0,bannister,0,bannister,0
barbell,0,barbell,0,barbell,0,barbell,0
barber chair,1,barber chair,1,chair,0,chair,0
barbershop,0,barbershop,0,barbershop,0,barbershop,0
barn,0,barn,0,barn,0,barn,0
barometer,0,barometer,0,barometer,0,barometer,0
"barrel, cask",1,barrel,0,barrel,0,barrel,0
"barrow, garden cart, lawn cart, wheelbarrow",1,barrow,0,barrow,0,barrow,0
baseball,0,baseball,0,baseball,0,baseball,0
basketball,0,basketball,0,basketball,0,basketball,0
bassinet,0,bassinet,0,bassinet,0,bassinet,0
bassoon,0,bassoon,0,bassoon,0,bassoon,0
"bathing cap, swimming cap",1,bathing cap,1,cap,0,cap,0
bath towel,1,bath towel,1,towel,0,towel,0
"bathtub, bathing tub, bath, tub",1,bathtub,0,bathtub,0,bathtub,0
"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",1,beach wagon,1,wagon,0,wagon,0
"beacon, lighthouse, beacon light, pharos",1,beacon,0,beacon,0,beacon,0
beaker,0,beaker,0,beaker,0,beaker,0
"bearskin, busby, shako",1,bearskin,0,bearskin,0,bearskin,0
beer bottle,1,beer bottle,1,bottle,0,beer,0
beer glass,1,beer glass,1,glass,0,beer,0
"bell cote, bell cot",1,bell cote,1,cote,0,church,0
bib,0,bib,0,bib,0,bib,0
"bicycle-built-for-two, tandem bicycle, tandem",1,bicycle-built-for-two,1,bicycle-built-for-two,1,bike,0
"bikini, two-piece",1,bikini,0,bikini,0,bikini,0
"binder, ring-binder",1,binder,0,binder,0,binder,0
"binoculars, field glasses, opera glasses",1,binoculars,0,binoculars,0,binoculars,0
birdhouse,0,birdhouse,0,birdhouse,0,birdhouse,0
boathouse,0,boathouse,0,boathouse,0,boathouse,0
"bobsled, bobsleigh, bob",1,bobsled,0,bobsled,0,bobsled,0
"bolo tie, bolo, bola tie, bola",1,bolo tie,1,tie,0,tie,0
"bonnet, poke bonnet",1,bonnet,0,bonnet,0,bonnet,0
bookcase,0,bookcase,0,bookcase,0,bookcase,0
"bookshop, bookstore, bookstall",1,bookshop,0,bookshop,0,bookshop,0
bottlecap,0,bottlecap,0,bottlecap,0,bottlecap,0
bow,0,bow,0,bow,0,bow,0
"bow tie, bow-tie, bowtie",1,bow tie,1,tie,0,tie,0
"brass, memorial tablet, plaque",1,brass,0,brass,0,brass,0
"brassiere, bra, bandeau",1,brassiere,0,brassiere,0,brassiere,0
"breakwater, groin, groyne, mole, bulwark, seawall, jetty",1,breakwater,0,breakwater,0,breakwater,0
"breastplate, aegis, egis",1,breastplate,0,breastplate,0,breastplate,0
broom,0,broom,0,broom,0,broom,0
"bucket, pail",1,bucket,0,bucket,0,bucket,0
buckle,0,buckle,0,buckle,0,buckle,0
bulletproof vest,1,bulletproof vest,1,vest,0,vest,0
"bullet train, bullet",1,bullet train,1,train,0,train,0
"butcher shop, meat market",1,butcher shop,1,shop,0,meat,0
"cab, hack, taxi, taxicab",1,cab,0,cab,0,cab,0
"caldron, cauldron",1,caldron,0,caldron,0,caldron,0
"candle, taper, wax light",1,candle,0,candle,0,candle,0
cannon,0,cannon,0,cannon,0,cannon,0
canoe,0,canoe,0,canoe,0,canoe,0
"can opener, tin opener",1,can opener,1,opener,0,opener,0
cardigan,0,cardigan,0,cardigan,0,cardigan,0
car mirror,1,car mirror,1,mirror,0,car,0
"carousel, carrousel, merry-go-round, roundabout, whirligig",1,carousel,0,carousel,0,carousel,0
"carpenter's kit, tool kit",1,carpenter's kit,1,kit,0,toolkit,0
carton,0,carton,0,carton,0,carton,0
car wheel,1,car wheel,1,wheel,0,wheel,0
"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",1,cash machine,1,machine,0,machine,0
cassette,0,cassette,0,cassette,0,cassette,0
cassette player,1,cassette player,1,player,0,cassette,0
castle,0,castle,0,castle,0,castle,0
catamaran,0,catamaran,0,catamaran,0,catamaran,0
CD player,1,CD player,1,player,0,CD,0
"cello, violoncello",1,cello,0,cello,0,cello,0
"cellular telephone, cellular phone, cellphone, cell, mobile phone",1,cellular telephone,1,telephone,0,telephone,0
chain,0,chain,0,chain,0,chain,0
chainlink fence,1,chainlink fence,1,fence,0,fence,0
"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",1,chain mail,1,mail,0,armor,0
"chain saw, chainsaw",1,chain saw,1,saw,0,saw,0
chest,0,chest,0,chest,0,chest,0
"chiffonier, commode",1,chiffonier,1,chiffonier,1,closet,0
"chime, bell, gong",1,chime,0,chime,0,chime,0
"china cabinet, china closet",1,china cabinet,1,cabinet,0,cabinet,0
Christmas stocking,1,Christmas stocking,1,stocking,0,christmas,0
"church, church building",1,church,0,church,0,church,0
"cinema, movie theater, movie theatre, movie house, picture palace",1,cinema,0,cinema,0,cinema,0
"cleaver, meat cleaver, chopper",1,cleaver,0,cleaver,0,cleaver,0
cliff dwelling,1,cliff dwelling,1,dwelling,0,cliff,0
cloak,0,cloak,0,cloak,0,cloak,0
"clog, geta, patten, sabot",1,clog,0,clog,0,clog,0
cocktail shaker,1,cocktail shaker,1,shaker,0,cocktail,0
coffee mug,1,coffee mug,1,mug,0,coffee,0
coffeepot,0,coffeepot,0,coffeepot,0,coffeepot,0
"coil, spiral, volute, whorl, helix",1,coil,0,coil,0,coil,0
combination lock,1,combination lock,1,lock,0,lock,0
"computer keyboard, keypad",1,computer keyboard,1,keyboard,0,keyboard,0
"confectionery, confectionary, candy store",1,confectionery,0,confectionery,0,confectionery,0
"container ship, containership, container vessel",1,container ship,1,ship,0,ship,0
convertible,0,convertible,0,convertible,0,convertible,0
"corkscrew, bottle screw",1,corkscrew,0,corkscrew,0,corkscrew,0
"cornet, horn, trumpet, trump",1,cornet,0,cornet,0,cornet,0
cowboy boot,1,cowboy boot,1,boot,0,boot,0
"cowboy hat, ten-gallon hat",1,cowboy hat,1,hat,0,hat,0
cradle,0,cradle,0,cradle,0,cradle,0
crane,0,crane,0,crane,0,crane,0
crash helmet,1,crash helmet,1,helmet,0,motorcycle,0
crate,0,crate,0,crate,0,crate,0
"crib, cot",1,crib,0,crib,0,crib,0
Crock Pot,1,Crock Pot,1,Pot,0,Pot,0
croquet ball,1,croquet ball,1,ball,0,croquet,0
crutch,0,crutch,0,crutch,0,crutch,0
cuirass,1,cuirass,1,cuirass,1,armor,0
"dam, dike, dyke",1,dam,0,dam,0,dam,0
desk,0,desk,0,desk,0,desk,0
desktop computer,1,desktop computer,1,computer,0,computer,0
"dial telephone, dial phone",1,dial telephone,1,telephone,0,telephone,0
"diaper, nappy, napkin",1,diaper,0,diaper,0,diaper,0
digital clock,1,digital clock,1,clock,0,clock,0
digital watch,1,digital watch,1,watch,0,watch,0
"dining table, board",1,dining table,1,table,0,table,0
"dishrag, dishcloth",1,dishrag,0,dishrag,0,dishrag,0
"dishwasher, dish washer, dishwashing machine",1,dishwasher,0,dishwasher,0,dishwasher,0
"disk brake, disc brake",1,disk brake,1,brake,0,brake,0
"dock, dockage, docking facility",1,dock,0,dock,0,dock,0
"dogsled, dog sled, dog sleigh",1,dogsled,0,dogsled,0,dogsled,0
dome,0,dome,0,dome,0,dome,0
"doormat, welcome mat",1,doormat,0,doormat,0,doormat,0
"drilling platform, offshore rig",1,drilling platform,1,platform,0,platform,0
"drum, membranophone, tympan",1,drum,0,drum,0,drum,0
drumstick,0,drumstick,0,drumstick,0,drumstick,0
dumbbell,0,dumbbell,0,dumbbell,0,dumbbell,0
Dutch oven,1,Dutch oven,1,oven,0,oven,0
"electric fan, blower",1,electric fan,1,fan,0,fan,0
electric guitar,1,electric guitar,1,guitar,0,guitar,0
electric locomotive,1,electric locomotive,1,locomotive,0,locomotive,0
entertainment center,1,entertainment center,1,center,0,center,0
envelope,0,envelope,0,envelope,0,envelope,0
espresso maker,1,espresso maker,1,maker,0,maker,0
face powder,1,face powder,1,powder,0,powder,0
"feather boa, boa",1,feather boa,1,boa,0,boa,0
"file, file cabinet, filing cabinet",1,file,0,file,0,file,0
fireboat,0,fireboat,0,fireboat,0,fireboat,0
"fire engine, fire truck",1,fire engine,1,engine,0,engine,0
"fire screen, fireguard",1,fire screen,1,screen,0,screen,0
"flagpole, flagstaff",1,flagpole,0,flagpole,0,flagpole,0
"flute, transverse flute",1,flute,0,flute,0,flute,0
folding chair,1,folding chair,1,chair,0,chair,0
football helmet,1,football helmet,1,helmet,0,football,0
forklift,0,forklift,0,forklift,0,forklift,0
fountain,0,fountain,0,fountain,0,fountain,0
fountain pen,1,fountain pen,1,pen,0,pen,0
four-poster,1,four-poster,1,four-poster,1,bed,0
freight car,1,freight car,1,car,0,car,0
"French horn, horn",1,French horn,1,horn,0,horn,0
"frying pan, frypan, skillet",1,frying pan,1,pan,0,pan,0
fur coat,1,fur coat,1,coat,0,coat,0
"garbage truck, dustcart",1,garbage truck,1,truck,0,truck,0
"gasmask, respirator, gas helmet",1,gasmask,0,gasmask,0,gasmask,0
"gas pump, gasoline pump, petrol pump, island dispenser",1,gas pump,1,pump,0,pump,0
goblet,0,goblet,0,goblet,0,goblet,0
go-kart,1,go-kart,1,go-kart,1,car,0
golf ball,1,golf ball,1,ball,0,golf,0
"golfcart, golf cart",1,golfcart,1,golfcart,1,golf,0
gondola,0,gondola,0,gondola,0,gondola,0
"gong, tam-tam",1,gong,0,gong,0,gong,0
gown,0,gown,0,gown,0,gown,0
"grand piano, grand",1,grand piano,1,piano,0,piano,0
"greenhouse, nursery, glasshouse",1,greenhouse,0,greenhouse,0,greenhouse,0
"grille, radiator grille",1,grille,0,grille,0,grille,0
"grocery store, grocery, food market, market",1,grocery store,1,store,0,store,0
guillotine,0,guillotine,0,guillotine,0,guillotine,0
hair slide,1,hair slide,1,slide,0,slide,0
hair spray,1,hair spray,1,spray,0,spray,0
half track,1,half track,1,track,0,track,0
hammer,0,hammer,0,hammer,0,hammer,0
hamper,0,hamper,0,hamper,0,hamper,0
"hand blower, blow dryer, blow drier, hair dryer, hair drier",1,hand blower,1,blower,0,blower,0
"hand-held computer, hand-held microcomputer",1,hand-held computer,1,computer,0,computer,0
"handkerchief, hankie, hanky, hankey",1,handkerchief,0,handkerchief,0,handkerchief,0
"hard disc, hard disk, fixed disk",1,hard disc,1,disc,0,disc,0
"harmonica, mouth organ, harp, mouth harp",1,harmonica,0,harmonica,0,harmonica,0
harp,0,harp,0,harp,0,harp,0
"harvester, reaper",1,harvester,0,harvester,0,harvester,0
hatchet,0,hatchet,0,hatchet,0,hatchet,0
holster,0,holster,0,holster,0,holster,0
"home theater, home theatre",1,home theater,1,theater,0,theater,0
honeycomb,0,honeycomb,0,honeycomb,0,honeycomb,0
"hook, claw",1,hook,0,hook,0,hook,0
"hoopskirt, crinoline",1,hoopskirt,1,hoopskirt,1,dress,0
"horizontal bar, high bar",1,horizontal bar,1,bar,0,bar,0
"horse cart, horse-cart",1,horse cart,1,cart,0,cart,0
hourglass,0,hourglass,0,hourglass,0,hourglass,0
iPod,0,iPod,0,iPod,0,iPod,0
"iron, smoothing iron",1,iron,0,iron,0,iron,0
jack-o'-lantern,1,jack-o'-lantern,1,jack-o'-lantern,1,pumpkin,0
"jean, blue jean, denim",1,jean,0,jean,0,jean,0
"jeep, landrover",1,jeep,0,jeep,0,jeep,0
"jersey, T-shirt, tee shirt",1,jersey,0,jersey,0,jersey,0
jigsaw puzzle,1,jigsaw puzzle,1,puzzle,0,jigsaw,0
"jinrikisha, ricksha, rickshaw",1,jinrikisha,1,jinrikisha,1,rickshaw,0
joystick,0,joystick,0,joystick,0,joystick,0
kimono,0,kimono,0,kimono,0,kimono,0
knee pad,1,knee pad,1,pad,0,pad,0
knot,0,knot,0,knot,0,knot,0
"lab coat, laboratory coat",1,lab coat,1,coat,0,coat,0
ladle,0,ladle,0,ladle,0,ladle,0
"lampshade, lamp shade",1,lampshade,0,lampshade,0,lampshade,0
"laptop, laptop computer",1,laptop,0,laptop,0,laptop,0
"lawn mower, mower",1,lawn mower,1,mower,0,mower,0
"lens cap, lens cover",1,lens cap,1,cap,0,cap,0
"letter opener, paper knife, paperknife",1,letter opener,1,opener,0,opener,0
library,0,library,0,library,0,library,0
lifeboat,0,lifeboat,0,lifeboat,0,lifeboat,0
"lighter, light, igniter, ignitor",1,lighter,0,lighter,0,lighter,0
"limousine, limo",1,limousine,0,limousine,0,limousine,0
"liner, ocean liner",1,liner,0,liner,0,liner,0
"lipstick, lip rouge",1,lipstick,0,lipstick,0,lipstick,0
Loafer,0,Loafer,0,Loafer,0,Loafer,0
lotion,0,lotion,0,lotion,0,lotion,0
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",1,loudspeaker,0,loudspeaker,0,loudspeaker,0
"loupe, jeweler's loupe",1,loupe,0,loupe,0,loupe,0
"lumbermill, sawmill",1,lumbermill,0,lumbermill,0,lumbermill,0
magnetic compass,1,magnetic compass,1,compass,0,compass,0
"mailbag, postbag",1,mailbag,0,mailbag,0,mailbag,0
"mailbox, letter box",1,mailbox,0,mailbox,0,mailbox,0
maillot,0,maillot,0,maillot,0,maillot,0
"maillot, tank suit",1,maillot,0,maillot,0,maillot,0
manhole cover,1,manhole cover,1,cover,0,manhole,0
maraca,0,maraca,0,maraca,0,maraca,0
"marimba, xylophone",1,marimba,0,marimba,0,marimba,0
mask,0,mask,0,mask,0,mask,0
matchstick,0,matchstick,0,matchstick,0,matchstick,0
maypole,0,maypole,0,maypole,0,maypole,0
"maze, labyrinth",1,maze,0,maze,0,maze,0
measuring cup,1,measuring cup,1,cup,0,cup,0
"medicine chest, medicine cabinet",1,medicine chest,1,chest,0,chest,0
"megalith, megalithic structure",1,megalith,0,megalith,0,megalith,0
"microphone, mike",1,microphone,0,microphone,0,microphone,0
"microwave, microwave oven",1,microwave,0,microwave,0,microwave,0
military uniform,1,military uniform,1,uniform,0,military,0
milk can,1,milk can,1,can,0,milk,0
minibus,0,minibus,0,minibus,0,minibus,0
"miniskirt, mini",1,miniskirt,0,miniskirt,0,miniskirt,0
minivan,0,minivan,0,minivan,0,minivan,0
missile,0,missile,0,missile,0,missile,0
mitten,0,mitten,0,mitten,0,mitten,0
mixing bowl,1,mixing bowl,1,bowl,0,bowl,0
"mobile home, manufactured home",1,mobile home,1,home,0,home,0
Model T,1,Model T,1,T,0,car,0
modem,0,modem,0,modem,0,modem,0
monastery,0,monastery,0,monastery,0,monastery,0
monitor,0,monitor,0,monitor,0,monitor,0
moped,0,moped,0,moped,0,moped,0
mortar,0,mortar,0,mortar,0,mortar,0
mortarboard,0,mortarboard,0,mortarboard,0,mortarboard,0
mosque,0,mosque,0,mosque,0,mosque,0
mosquito net,1,mosquito net,1,net,0,net,0
"motor scooter, scooter",1,motor scooter,1,scooter,0,scooter,0
"mountain bike, all-terrain bike, off-roader",1,mountain bike,1,bike,0,bike,0
mountain tent,1,mountain tent,1,tent,0,tent,0
"mouse, computer mouse",1,mouse,0,mouse,0,computer,0
mousetrap,0,mousetrap,0,mousetrap,0,mousetrap,0
moving van,1,moving van,1,van,0,van,0
muzzle,0,muzzle,0,muzzle,0,muzzle,0
nail,0,nail,0,nail,0,nail,0
neck brace,1,neck brace,1,brace,0,brace,0
necklace,0,necklace,0,necklace,0,necklace,0
nipple,0,nipple,0,nipple,0,nipple,0
"notebook, notebook computer",1,notebook,0,notebook,0,computer,0
obelisk,0,obelisk,0,obelisk,0,obelisk,0
"oboe, hautboy, hautbois",1,oboe,0,oboe,0,oboe,0
"ocarina, sweet potato",1,ocarina,0,ocarina,0,ocarina,0
"odometer, hodometer, mileometer, milometer",1,odometer,0,odometer,0,odometer,0
oil filter,1,oil filter,1,filter,0,filter,0
"organ, pipe organ",1,organ,0,organ,0,organ,0
"oscilloscope, scope, cathode-ray oscilloscope, CRO",1,oscilloscope,0,oscilloscope,0,oscilloscope,0
overskirt,0,overskirt,0,overskirt,0,overskirt,0
oxcart,0,oxcart,0,oxcart,0,oxcart,0
oxygen mask,1,oxygen mask,1,mask,0,mask,0
packet,0,packet,0,packet,0,packet,0
"paddle, boat paddle",1,paddle,0,paddle,0,paddle,0
"paddlewheel, paddle wheel",1,paddlewheel,0,paddlewheel,0,paddlewheel,0
padlock,0,padlock,0,padlock,0,padlock,0
paintbrush,0,paintbrush,0,paintbrush,0,paintbrush,0
"pajama, pyjama, pj's, jammies",1,pajama,0,pajama,0,pajama,0
palace,0,palace,0,palace,0,palace,0
"panpipe, pandean pipe, syrinx",1,panpipe,0,panpipe,0,panpipe,0
paper towel,1,paper towel,1,towel,0,towel,0
"parachute, chute",1,parachute,0,parachute,0,parachute,0
"parallel bars, bars",1,parallel bars,1,bars,0,bars,0
park bench,1,park bench,1,bench,0,park,0
parking meter,1,parking meter,1,meter,0,parking,0
"passenger car, coach, carriage",1,passenger car,1,car,0,car,0
"patio, terrace",1,patio,0,patio,0,patio,0
"pay-phone, pay-station",1,pay-phone,1,pay-phone,1,phone,0
"pedestal, plinth, footstall",1,pedestal,0,pedestal,0,pedestal,0
"pencil box, pencil case",1,pencil box,1,box,0,box,0
pencil sharpener,1,pencil sharpener,1,sharpener,0,sharpener,0
"perfume, essence",1,perfume,0,perfume,0,perfume,0
Petri dish,1,Petri dish,1,dish,0,dish,0
photocopier,0,photocopier,0,photocopier,0,photocopier,0
"pick, plectrum, plectron",1,pick,0,pick,0,pick,0
pickelhaube,1,pickelhaube,1,pickelhaube,1,helmet,0
"picket fence, paling",1,picket fence,1,fence,0,fence,0
"pickup, pickup truck",1,pickup,0,pickup,0,pickup,0
pier,0,pier,0,pier,0,pier,0
"piggy bank, penny bank",1,piggy bank,1,bank,0,bank,0
pill bottle,1,pill bottle,1,bottle,0,bottle,0
pillow,0,pillow,0,pillow,0,pillow,0
ping-pong ball,1,ping-pong ball,1,ball,0,pingpong,0
pinwheel,0,pinwheel,0,pinwheel,0,pinwheel,0
"pirate, pirate ship",1,pirate,0,pirate,0,pirate,0
"pitcher, ewer",1,pitcher,0,pitcher,0,bottle,0
"plane, carpenter's plane, woodworking plane",1,plane,0,plane,0,plane,0
planetarium,0,planetarium,0,planetarium,0,planetarium,0
plastic bag,1,plastic bag,1,bag,0,bag,0
plate rack,1,plate rack,1,rack,0,rack,0
"plow, plough",1,plow,0,plow,0,plow,0
"plunger, plumber's helper",1,plunger,0,plunger,0,plunger,0
"Polaroid camera, Polaroid Land camera",1,Polaroid camera,1,camera,0,camera,0
pole,0,pole,0,pole,0,pole,0
"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria",1,police van,1,van,0,van,0
poncho,0,poncho,0,poncho,0,poncho,0
"pool table, billiard table, snooker table",1,pool table,1,table,0,billiard,0
"pop bottle, soda bottle",1,pop bottle,1,bottle,0,bottle,0
"pot, flowerpot",1,pot,0,pot,0,pot,0
potter's wheel,1,potter's wheel,1,wheel,0,wheel,0
power drill,1,power drill,1,drill,0,drill,0
"prayer rug, prayer mat",1,prayer rug,1,rug,0,rug,0
printer,0,printer,0,printer,0,printer,0
"prison, prison house",1,prison,0,prison,0,prison,0
"projectile, missile",1,projectile,0,projectile,0,projectile,0
projector,0,projector,0,projector,0,projector,0
"puck, hockey puck",1,puck,0,puck,0,puck,0
"punching bag, punch bag, punching ball, punchball",1,punching bag,1,bag,0,bag,0
purse,0,purse,0,purse,0,purse,0
"quill, quill pen",1,quill,0,quill,0,quill,0
"quilt, comforter, comfort, puff",1,quilt,0,quilt,0,quilt,0
"racer, race car, racing car",1,racer,0,racer,0,racer,0
"racket, racquet",1,racket,0,racket,0,racket,0
radiator,0,radiator,0,radiator,0,radiator,0
"radio, wireless",1,radio,0,radio,0,radio,0
"radio telescope, radio reflector",1,radio telescope,1,telescope,0,telescope,0
rain barrel,1,rain barrel,1,barrel,0,barrel,0
"recreational vehicle, RV, R.V.",1,recreational vehicle,1,vehicle,0,vehicle,0
reel,0,reel,0,reel,0,reel,0
reflex camera,1,reflex camera,1,camera,0,camera,0
"refrigerator, icebox",1,refrigerator,0,refrigerator,0,refrigerator,0
"remote control, remote",1,remote control,1,control,0,control,0
"restaurant, eating house, eating place, eatery",1,restaurant,0,restaurant,0,restaurant,0
"revolver, six-gun, six-shooter",1,revolver,0,revolver,0,revolver,0
rifle,0,rifle,0,rifle,0,rifle,0
"rocking chair, rocker",1,rocking chair,1,chair,0,chair,0
rotisserie,0,rotisserie,0,rotisserie,0,rotisserie,0
"rubber eraser, rubber, pencil eraser",1,rubber eraser,1,eraser,0,eraser,0
rugby ball,1,rugby ball,1,ball,0,rugby,0
"rule, ruler",1,rule,0,rule,0,rule,0
running shoe,1,running shoe,1,shoe,0,shoe,0
safe,0,safe,0,safe,0,safe,0
safety pin,1,safety pin,1,pin,0,pin,0
"saltshaker, salt shaker",1,saltshaker,0,saltshaker,0,saltshaker,0
sandal,0,sandal,0,sandal,0,sandal,0
sarong,0,sarong,0,sarong,0,sarong,0
"sax, saxophone",1,sax,0,sax,0,sax,0
scabbard,0,scabbard,0,scabbard,0,scabbard,0
"scale, weighing machine",1,scale,0,scale,0,scale,0
school bus,1,school bus,1,bus,0,bus,0
schooner,0,schooner,0,schooner,0,schooner,0
scoreboard,0,scoreboard,0,scoreboard,0,scoreboard,0
"screen, CRT screen",1,screen,0,screen,0,screen,0
screw,0,screw,0,screw,0,screw,0
screwdriver,0,screwdriver,0,screwdriver,0,screwdriver,0
"seat belt, seatbelt",1,seat belt,1,belt,0,belt,0
sewing machine,1,sewing machine,1,machine,0,sew,0
"shield, buckler",1,shield,0,shield,0,shield,0
"shoe shop, shoe-shop, shoe store",1,shoe shop,1,shop,0,shoes,0
shoji,0,shoji,0,shoji,0,shoji,0
shopping basket,1,shopping basket,1,basket,0,basket,0
shopping cart,1,shopping cart,1,cart,0,cart,0
shovel,0,shovel,0,shovel,0,shovel,0
shower cap,1,shower cap,1,cap,0,cap,0
shower curtain,1,shower curtain,1,curtain,0,curtain,0
ski,0,ski,0,ski,0,ski,0
ski mask,1,ski mask,1,mask,0,mask,0
sleeping bag,1,sleeping bag,1,bag,0,camping,0
"slide rule, slipstick",1,slide rule,1,rule,0,ruler,0
sliding door,1,sliding door,1,door,0,door,0
"slot, one-armed bandit",1,slot,0,slot,0,slot,0
snorkel,0,snorkel,0,snorkel,0,snorkel,0
snowmobile,0,snowmobile,0,snowmobile,0,snowmobile,0
"snowplow, snowplough",1,snowplow,0,snowplow,0,snowplow,0
soap dispenser,1,soap dispenser,1,dispenser,0,dispenser,0
soccer ball,1,soccer ball,1,ball,0,soccer,0
sock,0,sock,0,sock,0,sock,0
"solar dish, solar collector, solar furnace",1,solar dish,1,dish,0,dish,0
sombrero,0,sombrero,0,sombrero,0,sombrero,0
soup bowl,1,soup bowl,1,bowl,0,bowl,0
space bar,1,space bar,1,bar,0,computer,0
space heater,1,space heater,1,heater,0,heater,0
space shuttle,1,space shuttle,1,shuttle,0,spaceship,0
spatula,0,spatula,0,spatula,0,spatula,0
speedboat,0,speedboat,0,speedboat,0,speedboat,0
"spider web, spider's web",1,spider web,1,web,0,web,0
spindle,0,spindle,0,spindle,0,spindle,0
"sports car, sport car",1,sports car,1,car,0,car,0
"spotlight, spot",1,spotlight,0,spotlight,0,spotlight,0
stage,0,stage,0,stage,0,stage,0
steam locomotive,1,steam locomotive,1,locomotive,0,locomotive,0
steel arch bridge,1,steel arch bridge,1,bridge,0,bridge,0
steel drum,1,steel drum,1,drum,0,drum,0
stethoscope,0,stethoscope,0,stethoscope,0,stethoscope,0
stole,0,stole,0,stole,0,stole,0
stone wall,1,stone wall,1,wall,0,wall,0
"stopwatch, stop watch",1,stopwatch,0,stopwatch,0,stopwatch,0
stove,0,stove,0,stove,0,stove,0
strainer,0,strainer,0,strainer,0,strainer,0
"streetcar, tram, tramcar, trolley, trolley car",1,streetcar,0,streetcar,0,streetcar,0
stretcher,0,stretcher,0,stretcher,0,stretcher,0
"studio couch, day bed",1,studio couch,1,couch,0,couch,0
"stupa, tope",1,stupa,0,stupa,0,stupa,0
"submarine, pigboat, sub, U-boat",1,submarine,0,submarine,0,submarine,0
"suit, suit of clothes",1,suit,0,suit,0,suit,0
sundial,0,sundial,0,sundial,0,sundial,0
sunglass,0,sunglass,0,sunglass,0,sunglass,0
"sunglasses, dark glasses, shades",1,sunglasses,0,sunglasses,0,sunglasses,0
"sunscreen, sunblock, sun blocker",1,sunscreen,0,sunscreen,0,sunscreen,0
suspension bridge,1,suspension bridge,1,bridge,0,bridge,0
"swab, swob, mop",1,swab,0,swab,0,swab,0
sweatshirt,0,sweatshirt,0,sweatshirt,0,sweatshirt,0
"swimming trunks, bathing trunks",1,swimming trunks,1,trunks,0,swimming,0
swing,0,swing,0,swing,0,swing,0
"switch, electric switch, electrical switch",1,switch,0,switch,0,switch,0
syringe,0,syringe,0,syringe,0,syringe,0
table lamp,1,table lamp,1,lamp,0,lamp,0
"tank, army tank, armored combat vehicle, armoured combat vehicle",1,tank,0,tank,0,tank,0
tape player,1,tape player,1,player,0,tape,0
teapot,0,teapot,0,teapot,0,teapot,0
"teddy, teddy bear",1,teddy,0,teddy,0,teddy,0
"television, television system",1,television,0,television,0,television,0
tennis ball,1,tennis ball,1,ball,0,tennis,0
"thatch, thatched roof",1,thatch,0,thatch,0,thatch,0
"theater curtain, theatre curtain",1,theater curtain,1,curtain,0,theater,0
thimble,0,thimble,0,thimble,0,thimble,0
"thresher, thrasher, threshing machine",1,thresher,0,thresher,0,thresher,0
throne,0,throne,0,throne,0,throne,0
tile roof,1,tile roof,1,roof,0,roof,0
toaster,0,toaster,0,toaster,0,toaster,0
"tobacco shop, tobacconist shop, tobacconist",1,tobacco shop,1,shop,0,tobacco,0
toilet seat,1,toilet seat,1,seat,0,seat,0
torch,0,torch,0,torch,0,torch,0
totem pole,1,totem pole,1,pole,0,pole,0
"tow truck, tow car, wrecker",1,tow truck,1,truck,0,truck,0
